Wifes_age,Number_of_children_ever_born,Wifes_education,Husbands_education,Wifes_religion,Wifes_now_working%3F,Husbands_occupation,Standard-of-living_index,Media_exposure,label
31,2,4,2,0,1,1,3,0,1
33,5,1,1,1,1,3,1,1,0
35,5,4,4,1,1,1,4,0,0
27,1,4,4,1,1,1,4,0,1
29,4,4,3,1,0,3,2,0,1
30,3,4,4,1,0,2,4,0,0
21,1,3,4,1,0,3,4,0,2
42,1,2,4,1,0,3,3,0,0
35,1,4,4,0,1,1,4,0,2
29,6,3,3,1,1,3,3,0,2
42,1,4,4,1,0,1,4,0,0
24,2,2,2,1,1,3,4,0,2
25,2,2,2,1,1,3,1,0,0
29,3,3,3,1,1,2,1,0,2
44,5,4,4,1,1,3,4,0,2
40,8,3,4,1,1,3,3,0,0
38,4,2,3,1,1,1,2,0,1
30,5,3,4,1,1,1,4,0,0
24,0,4,4,0,1,1,4,0,0
26,3,3,4,1,1,1,4,0,1
22,2,4,4,1,1,1,3,0,0
35,3,4,4,0,0,3,4,0,1
23,3,1,1,1,1,2,1,1,0
42,3,3,3,1,0,2,4,0,0
30,2,4,4,1,1,1,4,0,0
36,3,4,3,1,0,3,2,0,0
27,4,3,4,1,1,3,3,0,2
24,3,2,4,1,1,3,3,0,2
35,5,4,4,1,0,1,4,0,1
22,2,1,3,1,1,3,1,0,2
40,5,2,3,1,1,3,3,0,2
29,4,2,3,1,1,2,1,0,2
36,3,3,4,0,0,3,4,0,1
31,1,4,4,1,1,1,4,0,2
42,3,4,4,0,1,2,4,0,2
32,2,4,4,0,0,2,4,0,1
29,3,3,4,1,1,1,3,0,1
28,3,1,1,1,1,3,1,0,0
36,2,1,4,1,1,2,2,0,0
20,2,4,4,1,1,1,3,0,2
26,3,3,3,1,1,3,3,0,2
46,8,1,2,1,1,3,3,1,0
24,2,4,4,1,0,3,3,0,2
24,3,3,3,1,0,2,1,0,2
35,6,2,4,1,1,3,4,0,2
44,5,4,4,1,0,1,4,0,2
32,1,3,4,0,1,2,4,0,0
40,3,3,3,1,1,3,2,0,0
30,7,3,4,1,1,2,4,0,1
29,3,2,4,1,0,3,3,0,2
17,1,2,3,1,1,3,2,0,0
32,5,2,1,1,0,2,2,0,1
37,3,3,4,0,1,3,4,0,2
20,1,3,4,1,1,3,2,0,1
48,1,4,4,0,1,1,4,0,0
39,5,3,4,1,1,3,4,0,1
43,8,1,3,1,1,3,1,0,0
38,8,1,2,1,1,3,3,1,0
46,6,2,4,1,1,1,4,0,0
45,3,3,4,0,1,3,4,0,0
46,2,4,4,1,0,1,4,0,1
25,3,4,4,1,1,1,4,0,2
22,1,2,4,1,1,3,4,0,0
23,1,3,3,1,1,2,2,0,2
32,2,4,4,1,1,1,4,0,1
37,5,2,3,0,0,2,4,0,0
28,2,4,4,1,0,1,3,0,1
47,8,1,1,1,1,3,4,1,1
26,0,2,4,1,0,1,2,0,0
26,2,4,4,1,0,3,3,0,2
43,3,2,3,0,1,2,3,0,0
41,4,4,4,0,0,2,4,0,1
29,2,4,4,1,1,3,4,0,2
36,6,2,3,1,1,2,4,0,2
30,1,2,3,1,1,2,1,0,0
47,6,1,4,1,1,1,4,0,0
36,4,4,4,1,1,1,4,0,2
18,1,3,2,1,1,3,1,0,0
24,1,2,3,1,1,3,3,0,0
36,5,2,3,1,1,2,3,0,0
47,9,1,3,1,0,3,3,0,2
17,3,2,2,1,1,3,1,0,0
47,6,1,1,1,0,3,1,0,0
46,4,4,4,1,1,1,4,0,1
32,3,4,4,1,0,1,4,0,2
46,8,1,4,1,1,1,4,1,0
25,2,4,4,1,1,3,3,0,2
