N1,N2,N3,N4,N5,N6,C1,C2,C3,C4,label
3,2,265,6,9,5936,B,Ship,low,M,0
3,1,193,4,5,4700,F,Ship,low,M,0
4,1,255,5,9,1793,F,Ship,low,F,1
4,5,238,10,38,3556,D,Ship,medium,M,1
3,5,241,3,10,5099,F,Road,medium,M,1
4,1,200,3,5,4120,B,Ship,medium,F,1
7,4,310,4,6,1003,F,Ship,low,M,1
4,2,204,8,1,4038,C,Ship,low,F,1
3,5,272,2,31,2438,B,Ship,medium,M,1
3,5,240,8,9,4436,A,Road,low,M,1
4,4,209,3,44,2075,A,Ship,low,F,1
5,4,259,3,38,3720,A,Ship,low,F,1
2,1,166,3,8,4255,D,Ship,medium,F,1
3,1,167,3,10,4341,B,Ship,medium,M,1
5,1,143,2,46,1387,F,Ship,low,M,1
2,2,242,6,63,3144,A,Flight,low,F,1
4,3,154,3,4,4867,F,Ship,medium,F,1
3,3,185,3,10,4387,F,Ship,medium,F,0
6,3,266,4,8,1547,A,Flight,medium,F,0
4,2,133,3,2,1212,A,Ship,low,M,1
3,5,212,2,3,5761,A,Ship,low,F,1
5,1,151,3,2,4172,A,Ship,medium,M,1
6,3,304,5,10,1254,B,Ship,medium,F,1
4,1,180,2,23,1193,C,Flight,low,M,1
4,1,171,2,1,5635,F,Ship,medium,M,0
3,3,144,3,1,1274,D,Ship,low,M,1
3,2,243,2,5,4769,B,Road,low,F,0
3,1,157,2,7,5560,C,Flight,medium,M,0
4,1,140,2,5,1274,F,Flight,low,F,1
2,2,183,4,48,3374,A,Flight,low,M,1
4,1,242,6,8,1419,D,Ship,low,M,1
5,2,265,3,12,2892,C,Flight,low,F,1
6,5,260,4,8,1347,A,Road,low,F,1
5,2,140,3,16,1969,B,Ship,medium,F,1
6,1,244,4,5,1867,D,Ship,low,M,0
4,1,220,5,9,1817,A,Road,low,F,0
4,5,228,4,4,4750,F,Flight,low,M,0
4,5,161,3,5,4732,A,Flight,low,F,0
5,3,273,4,1,5119,C,Ship,medium,M,0
5,5,189,4,16,3564,D,Road,high,F,1
5,3,179,3,3,4131,C,Ship,low,F,0
3,5,258,3,5,4494,A,Ship,low,F,0
3,2,141,3,7,1933,A,Flight,low,M,1
6,1,191,5,8,5156,D,Flight,low,M,1
3,5,251,2,4,4015,F,Ship,low,M,0
4,4,265,3,9,5508,F,Flight,low,M,0
3,1,256,4,6,4814,A,Road,low,M,1
7,3,310,4,8,1860,A,Ship,medium,M,1
3,5,256,2,6,5375,C,Ship,medium,F,0
3,4,174,3,4,4051,C,Ship,medium,F,0
4,5,157,3,28,1557,B,Flight,medium,M,1
6,2,159,5,22,1247,B,Flight,medium,F,1
5,3,233,5,3,1398,F,Ship,medium,F,0
4,4,267,4,8,5219,D,Ship,low,F,1
3,5,238,6,8,5620,A,Ship,medium,M,0
7,3,267,4,7,1384,B,Ship,low,M,0
3,3,165,4,3,4235,D,Ship,medium,M,0
4,2,192,4,61,2256,F,Flight,low,F,1
4,1,264,4,6,4863,D,Road,low,F,0
5,3,234,3,10,5673,F,Road,low,M,0
4,3,211,8,6,5583,B,Flight,medium,F,0
4,5,239,2,1,4247,D,Road,medium,F,0
3,5,190,5,7,4457,A,Flight,high,F,0
3,5,209,2,33,2603,A,Road,low,M,1
4,5,232,5,3,1817,F,Ship,low,F,0
5,3,237,2,3,5113,D,Ship,medium,M,0
4,2,251,2,53,2673,F,Ship,low,M,1
4,2,199,3,23,2994,B,Flight,low,M,1
3,4,202,3,5,5169,F,Road,medium,M,0
5,4,233,3,8,5076,A,Road,low,M,1
2,1,285,5,4,5759,F,Ship,low,M,0
4,2,266,3,4,4197,B,Flight,medium,M,1
3,3,185,2,4,4746,D,Flight,low,M,0
2,5,116,3,3,1688,F,Road,low,F,1
4,5,233,5,44,2648,D,Ship,medium,F,1
5,4,153,3,5,4711,F,Ship,low,M,1
4,2,274,3,7,4477,D,Ship,medium,F,1
3,5,153,4,10,5897,D,Ship,low,F,0
3,1,160,3,4,5132,B,Ship,medium,F,0
4,1,139,3,7,4550,A,Ship,medium,M,0
5,4,140,3,56,1332,B,Ship,high,F,1
3,4,239,8,4,4192,F,Flight,high,M,0
3,1,254,2,56,3463,F,Ship,low,M,1
3,3,154,2,1,5746,D,Ship,medium,F,1
3,4,167,3,14,1420,A,Road,low,M,1
4,2,173,3,3,5364,C,Ship,high,F,0
3,4,266,3,9,5908,B,Ship,medium,M,1
5,1,267,6,3,1803,C,Ship,low,M,0
2,1,205,4,63,2156,F,Flight,medium,F,1
3,5,166,3,9,5275,B,Ship,medium,F,1
5,1,161,2,10,4108,C,Ship,medium,F,1
3,3,195,7,4,4614,D,Ship,medium,F,0
3,3,234,3,3,4405,A,Flight,low,M,0
5,4,252,3,2,4162,B,Ship,medium,M,0
5,5,269,5,5,1742,F,Flight,low,M,0
6,4,297,5,6,1631,D,Ship,high,M,0
5,5,227,3,36,3952,F,Ship,medium,M,1
5,3,202,2,6,5716,F,Ship,low,F,0
4,1,177,2,6,5566,A,Ship,medium,M,0
2,1,157,3,58,1930,D,Road,low,M,1
4,4,179,3,3,5624,F,Flight,medium,F,0
3,4,164,10,10,4134,F,Flight,medium,F,0
5,3,170,3,12,1018,D,Ship,low,F,1
3,3,185,4,6,4015,B,Ship,low,F,0
3,3,238,2,2,5512,B,Ship,medium,M,0
4,2,151,2,6,4987,F,Flight,medium,M,0
3,3,261,3,14,3479,F,Ship,medium,M,1
5,3,282,3,5,4644,D,Ship,medium,M,1
5,1,139,3,2,5632,C,Flight,medium,M,0
5,2,141,3,34,1020,C,Ship,high,F,1
4,1,182,3,49,3198,F,Ship,medium,F,1
4,5,246,3,7,4956,C,Ship,medium,F,0
5,5,229,5,2,1975,D,Ship,medium,M,1
4,2,219,4,8,5660,B,Road,low,M,0
5,5,242,5,3,1444,B,Ship,medium,M,1
3,4,177,2,3,4240,D,Ship,medium,M,1
4,4,229,6,2,1279,C,Ship,low,M,0
4,2,186,10,45,3722,F,Road,low,M,1
3,5,176,3,1,1982,B,Flight,high,F,1
5,1,253,6,12,2486,C,Road,medium,M,1
4,5,144,2,2,4978,C,Ship,low,M,0
4,5,221,3,6,5895,C,Flight,low,F,0
4,1,261,3,3,4673,C,Ship,low,F,1
5,5,236,2,2,5210,F,Ship,medium,M,0
4,1,192,4,5,4142,B,Ship,high,M,1
6,2,265,3,3,1904,A,Ship,low,M,1
3,1,242,4,10,4809,B,Road,low,M,1
3,5,179,3,2,4913,F,Flight,low,M,0
5,3,202,3,4,4134,C,Road,low,M,1
4,1,124,2,22,1714,F,Flight,medium,M,1
6,2,279,4,1,1150,F,Ship,low,M,1
3,1,242,8,4,4943,A,Ship,medium,M,0
3,3,274,4,7,4828,F,Road,medium,F,0
4,5,254,3,7,4363,C,Ship,low,F,0
3,5,206,4,2,5829,B,Ship,medium,F,1
5,1,226,2,6,5395,A,Ship,medium,M,0
6,5,305,4,10,1418,C,Flight,medium,M,1
4,4,209,6,7,4852,F,Flight,low,F,0
5,2,221,5,10,1160,F,Flight,medium,M,0
4,2,217,5,10,1744,F,Ship,medium,M,0
4,1,205,3,10,4923,C,Ship,low,F,0
5,3,210,6,6,4203,C,Ship,low,M,1
2,5,209,5,9,5565,D,Ship,medium,F,0
5,4,307,5,8,1903,D,Flight,low,M,0
4,5,272,2,10,4962,A,Ship,low,F,0
3,4,172,3,4,4337,F,Ship,low,F,0
4,5,251,2,8,5232,A,Ship,medium,F,0
2,3,257,2,1,5331,C,Ship,low,F,1
7,1,244,5,3,1418,B,Ship,medium,F,1
6,5,252,4,2,1249,C,Flight,low,F,0
5,5,239,3,18,2495,D,Ship,high,M,1
4,1,229,3,20,2891,F,Ship,medium,F,1
4,4,189,4,9,5838,A,Ship,medium,F,1
5,4,245,6,9,1660,B,Ship,medium,M,0
3,2,158,3,39,1512,B,Road,medium,F,1
3,3,153,3,3,4829,F,Road,low,F,0
6,5,301,4,2,1943,D,Ship,medium,F,0
4,1,238,3,4,5449,B,Road,low,M,1
2,2,201,3,2,4865,F,Ship,high,M,1
3,1,159,2,5,4906,D,Road,medium,M,1
3,1,254,3,6,3496,B,Ship,medium,M,1
3,1,162,3,12,1417,F,Flight,medium,F,1
4,4,205,4,2,4690,B,Ship,medium,F,1
4,2,235,6,6,1386,A,Ship,low,M,0
4,3,249,5,10,1067,F,Ship,low,F,1
3,3,157,4,7,5974,F,Flight,low,M,1
3,4,201,10,7,4699,F,Road,high,F,0
5,5,171,2,8,4602,F,Road,high,M,0
2,2,180,2,1,4407,A,Ship,high,M,0
4,3,180,3,4,5471,F,Road,medium,M,0
2,3,142,3,38,7640,D,Ship,medium,F,1
5,4,211,3,9,4908,F,Ship,low,M,0
3,3,262,2,10,5032,C,Ship,medium,F,0
5,3,145,3,3,4077,D,Ship,low,M,1
3,3,176,4,10,1177,B,Flight,medium,M,1
5,4,231,2,7,5491,F,Ship,medium,F,1
3,1,250,3,1,4347,C,Flight,low,M,0
3,1,135,2,7,5682,F,Road,low,M,0
3,2,250,3,37,2736,D,Ship,low,F,1
4,2,135,2,54,1011,F,Flight,low,M,1
5,3,257,5,7,1565,B,Flight,medium,F,1
3,5,270,3,7,4459,F,Ship,high,F,1
2,5,264,2,9,5898,F,Ship,low,M,1
4,4,140,3,4,5924,F,Ship,low,F,1
5,1,179,3,62,1945,A,Road,low,F,1
5,2,233,3,7,5323,C,Ship,high,M,1
4,3,250,2,4,4808,C,Flight,medium,M,1
5,4,200,3,8,5206,F,Flight,medium,F,1
5,1,189,4,10,4166,C,Ship,low,F,1
4,4,176,3,34,1283,C,Ship,high,M,1
5,2,155,3,10,4485,A,Road,low,F,1
3,1,217,3,1,4177,D,Ship,low,F,1
3,3,247,2,55,3461,D,Ship,medium,M,1
4,5,163,4,49,1470,D,Flight,low,F,1
4,4,234,2,2,2008,D,Ship,high,M,1
4,2,270,4,46,1736,A,Ship,low,F,1
3,5,209,3,4,5413,B,Ship,high,F,0
4,3,237,3,57,3952,F,Ship,low,M,1
3,1,140,2,8,5253,B,Ship,low,F,1
4,1,181,2,2,4154,F,Flight,low,M,0
6,4,264,4,1,1660,F,Ship,low,M,1
4,5,188,5,1,5999,F,Ship,low,F,1
5,5,261,3,8,3257,D,Road,medium,F,1
3,3,189,3,9,4278,D,Road,high,M,1
4,5,235,4,6,4633,F,Ship,medium,M,1
4,3,262,3,9,4404,C,Ship,low,M,1
4,1,259,3,9,5148,A,Ship,low,M,1
3,3,179,3,12,1125,F,Ship,medium,F,1
4,4,154,3,52,1367,F,Ship,low,M,1
4,3,249,3,6,5657,F,Ship,medium,F,1
5,3,269,5,8,5833,F,Flight,low,F,1
5,4,229,5,9,1069,A,Ship,low,M,1
4,2,134,3,1,4064,C,Flight,medium,F,1
4,1,246,6,4,1489,F,Ship,low,M,0
2,2,168,2,2,1227,B,Ship,medium,F,1
3,4,157,3,6,5611,F,Flight,medium,F,0
4,3,164,2,3,5735,F,Ship,low,M,0
5,4,254,6,4,1850,F,Ship,low,M,1
6,5,261,4,9,1266,B,Ship,low,F,1
6,1,255,4,9,1575,D,Ship,low,M,0
4,1,127,8,12,1519,D,Ship,low,F,1
6,1,301,4,3,1200,B,Ship,low,F,1
3,4,188,3,49,3221,C,Ship,medium,F,1
6,3,255,4,8,1805,F,Flight,medium,F,0
3,2,227,2,10,5401,B,Road,low,M,0
4,3,275,10,10,2093,D,Ship,medium,M,1
5,5,194,4,4,4003,A,Ship,medium,F,0
4,5,226,2,2,5881,B,Ship,high,M,1
4,1,208,3,6,5345,A,Ship,low,F,1
2,3,204,4,20,3135,A,Ship,low,F,1
3,4,156,3,6,5255,F,Ship,medium,M,1
3,5,256,3,7,4366,C,Ship,low,M,1
3,1,205,4,3,4426,F,Ship,high,F,0
6,1,238,6,13,2442,A,Ship,low,F,1
3,1,163,3,59,1005,F,Flight,medium,M,1
4,2,192,3,3,4922,B,Flight,medium,F,0
4,1,224,2,2,4581,A,Road,medium,M,1
4,3,167,2,2,5544,A,Ship,medium,F,0
2,5,117,3,44,1192,A,Ship,low,M,1
5,5,208,3,45,2018,C,Ship,low,F,1
4,2,158,3,9,4078,F,Road,medium,F,1
5,5,245,5,5,1252,B,Ship,low,M,0
4,1,280,3,2,3366,B,Road,medium,M,1
3,5,139,2,2,5839,A,Road,low,M,0
5,2,254,6,5,1885,C,Ship,low,M,0
4,2,150,3,48,1193,A,Flight,low,F,1
4,5,200,4,1,4885,D,Ship,low,F,0
4,5,188,2,4,4433,B,Road,low,F,0
3,3,202,2,1,5220,F,Ship,medium,F,1
4,1,252,4,7,5459,A,Flight,low,F,1
4,1,198,3,56,3135,F,Ship,medium,F,1
4,5,197,3,34,3784,C,Road,low,F,1
4,2,197,3,2,5707,C,Road,low,F,0
5,1,247,5,8,1842,F,Ship,medium,F,1
2,2,159,6,6,4044,D,Road,low,F,0
5,2,263,2,63,1254,F,Ship,medium,F,1
5,1,263,3,6,4505,F,Ship,medium,M,1
3,4,198,2,20,2266,A,Ship,medium,F,1
4,4,218,2,3,5039,F,Ship,medium,M,0
3,2,152,4,7,5943,D,Flight,medium,F,1
2,3,184,4,3,4719,C,Ship,medium,M,0
3,4,219,6,2,1837,F,Road,low,F,0
4,4,224,3,60,3145,A,Ship,high,M,1
6,2,189,2,2,1837,C,Ship,low,F,0
3,4,287,5,9,5308,F,Road,medium,F,0
6,1,235,6,3,5591,C,Road,medium,M,0
4,3,194,2,4,5780,C,Ship,medium,M,1
4,2,167,3,21,1637,F,Ship,low,M,1
6,2,248,4,10,1563,F,Road,low,F,1
2,3,248,4,2,4521,C,Ship,high,F,0
4,5,245,3,7,4297,A,Ship,low,F,0
2,5,164,4,2,1439,C,Ship,medium,M,1
4,1,168,2,3,4665,D,Ship,low,M,1
4,3,142,2,5,5502,A,Flight,low,F,1
4,4,218,2,27,2824,B,Ship,medium,M,1
4,1,100,6,6,5841,D,Ship,medium,M,0
4,3,257,3,5,2489,F,Ship,medium,M,1
4,4,179,2,18,1369,F,Ship,low,M,1
3,3,252,2,48,2102,B,Road,medium,F,1
4,5,127,8,39,1411,A,Ship,low,M,1
6,3,277,4,6,1623,F,Ship,medium,M,1
5,4,267,5,9,1017,F,Road,low,M,0
5,4,257,5,10,1695,F,Ship,low,M,1
5,2,241,2,9,4965,A,Flight,medium,M,0
4,5,207,2,49,3736,C,Flight,medium,F,1
4,3,258,2,11,2252,B,Flight,high,M,1
2,3,277,3,1,1738,F,Ship,medium,F,0
4,4,153,4,5,5162,A,Ship,low,M,0
3,1,159,3,10,4784,D,Ship,low,M,1
4,1,135,4,5,5934,D,Flight,low,F,0
5,1,171,4,9,4418,F,Flight,medium,F,1
3,3,190,10,4,3062,F,Ship,medium,M,1
4,1,266,3,23,3775,B,Ship,low,F,1
3,2,221,2,9,4466,B,Ship,medium,M,0
6,4,143,4,4,4401,A,Road,medium,M,0
5,4,255,6,4,1255,A,Ship,low,M,1
3,4,165,2,1,5745,B,Ship,medium,M,0
3,4,195,7,9,5829,D,Road,medium,F,0
5,2,208,8,62,3450,B,Ship,low,M,1
3,5,146,5,3,5489,D,Ship,low,F,0
5,5,270,5,5,1852,C,Ship,low,M,1
4,4,141,2,7,1479,D,Ship,low,M,1
5,4,230,2,48,3743,A,Road,medium,F,1
3,2,109,3,4,5746,B,Ship,low,M,0
4,4,205,4,6,5064,D,Ship,low,F,0
5,3,257,5,8,1981,C,Road,medium,M,1
4,3,216,3,35,2567,B,Road,medium,M,1
3,4,230,3,7,5891,A,Flight,medium,F,0
3,2,168,3,2,4231,A,Ship,medium,M,0
3,5,181,2,29,2217,C,Ship,low,M,1
4,2,257,3,3,5549,A,Ship,low,M,1
3,3,227,2,24,2749,D,Ship,medium,F,1
4,4,177,3,23,1142,B,Ship,medium,M,1
6,3,297,4,1,1080,F,Flight,medium,M,0
4,5,236,4,1,4082,A,Ship,medium,M,0
3,4,220,7,43,2620,F,Ship,low,M,1
4,1,173,3,4,4634,F,Flight,low,F,0
3,1,174,4,18,1072,B,Ship,low,M,1
3,2,164,2,7,4150,F,Ship,medium,F,0
4,2,272,2,1,5939,A,Ship,low,F,1
7,3,256,4,4,1628,F,Ship,medium,M,0
4,2,278,6,36,2330,B,Road,low,F,1
4,2,218,2,4,4299,A,Ship,low,M,1
4,3,246,5,1,1673,A,Ship,low,F,1
6,2,239,4,7,4589,C,Road,medium,F,0
4,4,147,4,8,5882,F,Ship,low,F,0
6,5,243,3,35,2374,A,Ship,medium,F,1
2,2,127,3,13,1128,C,Road,low,M,1
4,5,228,5,5,1373,B,Ship,low,M,1
5,1,162,3,4,5869,F,Road,low,F,1
3,4,175,2,2,1072,C,Ship,low,F,1
3,3,187,3,63,2481,A,Ship,low,F,1
4,2,153,2,4,4069,D,Flight,medium,F,1
4,1,236,3,8,4114,C,Ship,low,F,0
5,1,216,3,40,2668,A,Ship,low,M,1
3,5,154,3,46,1312,F,Flight,medium,M,1
3,3,182,4,10,1690,F,Road,low,M,1
3,1,231,4,60,3755,D,Flight,medium,F,1
5,1,126,5,2,5659,C,Ship,medium,F,1
4,1,164,4,6,4432,F,Ship,low,M,1
5,5,265,3,3,5837,B,Road,high,F,1
5,1,137,4,1,4042,B,Ship,high,F,0
4,2,244,5,7,5337,C,Ship,low,F,0
3,1,265,3,11,2194,F,Flight,medium,M,1
4,3,192,4,2,1830,A,Ship,low,F,0
3,5,121,3,10,1701,C,Flight,low,F,1
3,1,209,2,3,4184,F,Ship,medium,F,0
5,3,201,2,4,3757,B,Ship,low,M,1
6,2,130,5,3,5654,A,Ship,low,M,0
5,5,239,6,1,1984,A,Road,low,F,0
7,4,286,4,3,1262,F,Ship,low,M,1
3,3,163,3,2,5791,F,Road,medium,M,1
3,2,213,4,53,3502,B,Ship,low,M,1
4,1,207,2,4,4099,B,Road,medium,M,0
4,3,165,2,10,4351,D,Road,medium,M,0
5,4,250,6,1,4343,A,Ship,low,F,0
2,3,139,3,3,1788,D,Ship,low,F,1
5,5,177,5,1,4379,F,Ship,low,F,1
4,4,138,3,7,1597,D,Ship,medium,F,1
3,4,195,2,32,3719,C,Road,medium,F,1
5,1,177,2,9,4881,A,Road,medium,M,0
3,3,149,2,7,1145,C,Ship,medium,M,1
4,1,241,2,3,5672,F,Road,low,M,0
4,1,152,3,3,4250,F,Flight,medium,F,1
6,5,260,4,10,1799,B,Ship,medium,F,0
5,1,134,2,8,5646,A,Ship,low,M,0
5,4,271,3,3,5218,A,Ship,low,M,1
3,3,157,4,2,5684,C,Road,medium,F,0
5,2,274,3,6,3375,F,Ship,medium,M,1
3,4,255,2,2,4504,C,Ship,low,M,0
3,4,268,2,39,2822,C,Ship,high,F,1
6,5,304,4,8,1755,F,Ship,low,M,1
3,2,243,2,38,3850,F,Flight,low,F,1
3,2,159,3,4,5577,C,Ship,medium,M,1
5,2,133,10,53,1674,F,Ship,medium,M,1
4,4,146,3,10,4472,F,Ship,low,M,1
3,3,224,3,5,4214,F,Ship,medium,F,1
3,4,243,2,7,4024,B,Ship,high,M,0
6,3,247,4,4,1476,B,Flight,medium,F,1
3,5,268,4,5,3446,D,Ship,high,M,1
4,1,161,3,59,1454,F,Ship,low,M,1
3,4,133,3,17,1187,F,Ship,low,M,1
6,1,141,3,2,5144,F,Ship,low,F,0
3,4,219,2,7,4883,B,Ship,medium,M,1
4,4,184,3,10,5705,F,Ship,low,F,1
3,3,261,8,10,4145,F,Ship,low,M,0
4,1,237,5,5,1041,F,Ship,low,F,0
4,1,183,3,4,4789,F,Ship,medium,F,0
4,2,136,4,9,5038,A,Ship,medium,M,0
4,3,198,3,1,5846,B,Ship,medium,F,1
5,2,246,5,4,1072,A,Ship,low,F,1
3,4,250,6,1,4543,A,Ship,medium,M,1
4,2,185,3,1,5338,A,Ship,medium,M,0
3,4,148,2,5,4693,C,Flight,low,F,1
5,3,174,6,41,1085,D,Ship,high,F,1
3,4,132,2,12,1493,B,Flight,medium,M,1
5,5,225,5,7,1168,D,Flight,low,M,0
6,4,151,3,10,5414,F,Ship,low,F,1
3,1,227,3,52,3336,D,Ship,medium,M,1
4,3,179,3,45,1903,F,Ship,low,M,1
4,4,189,2,18,2955,F,Ship,medium,F,1
2,4,149,5,7,5541,D,Ship,medium,F,0
3,2,137,3,9,1347,B,Ship,medium,F,1
6,1,273,4,6,1524,D,Flight,medium,F,0
4,2,266,3,2,5252,B,Ship,medium,F,1
3,2,262,2,26,2370,C,Road,low,F,1
4,4,268,4,5,5647,C,Ship,low,M,0
3,2,264,3,5,3861,A,Flight,medium,M,1
4,2,273,3,2,5712,C,Ship,low,M,0
4,3,154,3,33,1101,C,Ship,low,M,1
6,5,244,4,9,1789,C,Ship,low,M,1
3,2,152,3,7,4244,B,Flight,medium,F,0
5,1,233,5,4,1622,C,Flight,medium,M,0
2,2,149,3,4,4819,D,Flight,low,F,1
3,3,255,2,3,4824,F,Flight,medium,F,0
2,5,243,3,9,4182,C,Ship,medium,F,0
3,1,188,3,3,4222,F,Road,low,M,0
5,1,176,3,3,5919,F,Ship,low,M,0
4,4,229,5,7,1049,D,Ship,low,M,1
3,4,242,3,29,2381,C,Ship,low,M,1
5,1,158,2,6,4873,B,Ship,medium,M,0
6,2,301,5,3,1844,F,Ship,medium,M,1
2,1,206,2,7,4721,F,Ship,low,M,0
3,4,128,3,51,1524,D,Ship,medium,F,1
3,3,162,3,7,1901,F,Ship,medium,M,1
3,3,166,2,45,1791,F,Ship,low,F,1
3,5,256,2,4,5368,B,Flight,medium,F,1
3,2,167,2,3,4722,F,Ship,low,M,1
4,5,153,2,1,4492,F,Ship,low,M,0
4,4,210,3,14,3666,F,Ship,medium,F,1
5,5,195,2,6,3936,F,Ship,low,F,1
4,3,192,4,1,5669,D,Road,high,F,1
3,3,257,2,5,4681,C,Ship,medium,M,1
5,3,210,2,44,3382,F,Ship,medium,M,1
5,1,170,4,4,4855,D,Ship,low,F,1
3,3,214,3,9,5856,B,Ship,medium,F,0
3,5,150,2,29,1934,F,Ship,low,M,1
3,4,207,10,6,5856,D,Flight,low,F,0
5,4,184,3,9,3332,B,Ship,low,M,1
5,5,213,3,5,5247,A,Flight,medium,M,0
3,2,150,3,2,5502,F,Flight,high,M,0
2,4,246,2,10,5337,F,Ship,low,M,1
3,3,121,2,10,5130,B,Flight,low,M,1
3,5,184,3,1,4161,F,Flight,medium,M,0
3,1,219,8,2,5334,A,Ship,low,M,0
5,1,256,7,50,3837,F,Ship,low,F,1
4,2,200,3,7,4323,C,Ship,medium,M,0
5,2,223,5,6,1883,D,Road,medium,F,0
4,4,260,5,5,1952,D,Ship,low,F,1
4,3,162,10,25,1764,A,Ship,high,M,1
5,4,243,6,1,4170,D,Ship,medium,F,1
4,5,140,5,3,4191,A,Flight,medium,F,1
5,2,167,8,28,1921,B,Ship,low,M,1
3,3,250,4,1,4717,F,Road,medium,M,0
4,1,163,8,9,5489,A,Ship,medium,F,1
4,4,228,3,12,3359,B,Road,medium,F,1
4,3,261,3,1,4590,B,Ship,medium,M,0
5,2,157,2,32,1497,D,Ship,low,M,1
3,1,242,3,10,3606,B,Ship,medium,F,1
2,3,183,2,52,3199,B,Flight,medium,F,1
5,3,200,8,9,2741,C,Ship,low,F,1
5,3,251,3,8,4228,C,Ship,medium,F,1
4,3,274,3,5,4409,F,Ship,low,F,0
5,5,254,5,35,2508,B,Ship,low,F,1
6,4,304,4,7,1226,C,Ship,low,M,1
6,4,305,4,7,1172,D,Flight,low,F,1
4,3,273,10,8,4896,C,Ship,medium,F,0
2,2,247,3,4,4686,B,Ship,low,F,1
4,5,199,2,8,4463,F,Ship,low,F,0
3,4,245,3,7,5429,C,Ship,medium,F,0
4,1,197,2,2,5685,A,Ship,low,F,0
5,5,245,5,4,4627,B,Ship,medium,F,0
4,3,274,3,7,5517,B,Road,high,F,0
6,3,286,4,7,1132,C,Flight,medium,F,1
3,3,187,2,7,4859,A,Ship,low,F,0
6,4,285,4,10,1422,F,Road,medium,F,0
2,5,198,2,4,1913,B,Flight,medium,M,1
4,1,227,3,5,3100,D,Road,low,M,1
5,5,274,5,7,1875,C,Ship,low,M,1
3,5,191,4,2,5177,F,Ship,low,M,1
5,1,143,3,5,5146,F,Road,low,M,1
5,3,199,4,8,5362,A,Ship,medium,F,0
5,4,199,4,2,4902,A,Ship,medium,M,1
3,4,247,3,4,5844,A,Ship,low,F,0
5,1,217,2,10,4264,C,Ship,medium,F,0
3,3,177,4,4,1560,A,Ship,medium,F,1
6,4,112,4,9,4005,D,Ship,medium,F,1
5,2,240,7,57,2708,D,Road,medium,F,1
4,4,200,4,16,2060,A,Road,medium,M,1
3,3,248,4,36,3276,F,Road,low,F,1
3,3,135,3,2,5860,D,Ship,medium,M,0
3,3,244,3,6,5109,F,Road,low,M,0
6,1,249,4,2,1326,B,Ship,medium,M,1
4,5,172,4,8,5900,B,Ship,medium,M,1
5,2,230,4,4,4782,F,Ship,low,F,1
4,1,152,5,8,5711,F,Flight,medium,M,0
4,4,193,3,5,5090,A,Ship,low,M,1
5,4,268,3,6,2206,B,Flight,medium,M,1
7,5,302,4,3,1597,A,Flight,low,M,1
4,5,202,3,6,2616,A,Road,low,F,1
4,3,148,3,7,5034,A,Ship,high,F,1
3,2,148,2,58,1537,B,Ship,low,F,1
2,1,271,6,2,4237,B,Ship,low,F,1
4,2,160,3,64,1714,A,Road,low,M,1
4,4,177,2,6,5116,F,Ship,low,F,0
5,2,257,3,2,4677,F,Ship,low,F,1
5,2,184,2,27,3276,F,Ship,medium,M,1
3,4,212,2,13,2733,F,Ship,high,M,1
4,4,224,3,9,2952,F,Road,medium,M,1
4,2,260,3,3,4661,D,Ship,medium,F,1
3,4,216,3,3,5651,B,Ship,medium,M,0
5,3,134,2,10,5279,F,Ship,low,M,1
4,2,191,2,65,3082,A,Ship,high,M,1
3,1,147,2,52,1934,F,Ship,medium,M,1
4,3,136,3,10,4299,A,Ship,medium,M,1
5,1,216,10,2,5672,F,Ship,medium,F,0
2,2,162,3,10,4489,F,Ship,high,M,1
3,1,243,2,10,5460,F,Ship,medium,M,0
5,3,190,3,45,2628,B,Ship,high,M,1
4,1,240,4,7,5905,C,Ship,low,F,1
6,4,264,5,7,1220,D,Flight,medium,F,1
4,2,264,5,6,1736,B,Ship,medium,F,1
4,2,161,3,22,1819,C,Road,low,F,1
5,4,164,3,9,5135,B,Ship,low,M,1
4,3,160,2,38,1961,F,Ship,medium,F,1
4,4,246,3,9,5041,D,Ship,low,M,0
4,4,166,6,6,4100,F,Ship,low,F,1
3,3,225,4,9,5468,F,Ship,low,F,1
5,1,130,4,9,4946,B,Ship,high,F,1
3,1,135,2,7,1316,F,Road,medium,M,1
2,1,180,2,31,1078,C,Ship,medium,F,1
4,1,262,6,1,1627,F,Road,low,M,1
3,2,268,3,30,2867,C,Road,low,M,1
3,4,140,3,3,5300,B,Flight,low,M,0
6,3,121,3,10,5208,D,Ship,medium,F,0
4,5,175,3,5,4194,F,Road,medium,F,0
5,3,243,6,9,5640,D,Ship,medium,F,0
3,1,267,3,8,5415,F,Road,medium,F,1
3,2,209,2,9,5203,C,Ship,low,M,0
5,3,244,5,3,1174,B,Road,low,F,0
4,5,222,2,2,4425,F,Ship,medium,M,0
6,2,288,4,9,1405,B,Flight,medium,M,1
4,5,261,2,3,4119,F,Ship,low,M,0
5,2,235,2,10,4938,F,Ship,low,F,0
4,2,249,5,36,3836,F,Road,medium,M,1
5,1,250,4,4,1438,F,Flight,medium,M,0
7,4,272,4,3,1805,C,Flight,low,M,0
6,3,252,2,1,1756,C,Ship,low,M,0
4,3,136,3,20,1531,F,Ship,medium,M,1
4,5,222,3,5,5584,A,Flight,low,F,0
4,1,212,3,3,4896,D,Ship,low,M,0
4,4,146,10,3,4152,D,Road,low,F,1
